fold,rows,positives,log_loss,roc_auc,pr_auc,brier
0,4801,1062,0.439806089798,0.76899381941,0.52863499418,0.138245021091
1,4801,1062,0.424492309978,0.785398751592,0.564999958347,0.131988425729
2,4799,1061,0.435961938233,0.767939530279,0.547623603619,0.136544694109
3,4799,1062,0.436502728454,0.765265601228,0.537174605415,0.136165182783
4,4800,1062,0.433611851142,0.775989884517,0.550940636814,0.135836157135
