candidate,fold,rows,log_loss,roc_auc,pr_auc,brier
base,0,4801,0.426533502055,0.790493923418,0.553393398725,0.134799610955
base,1,4801,0.410291470285,0.807853570725,0.589038835572,0.127671195799
base,2,4799,0.423758480914,0.787976504393,0.570102475304,0.133004044117
base,3,4799,0.426248706972,0.781072564425,0.560123807047,0.13328641955
base,4,4800,0.420705707808,0.793071287001,0.573378008909,0.13195983223
disagreement,0,4801,0.426498927663,0.789915956863,0.553168349022,0.134836138666
disagreement,1,4801,0.40991687327,0.808147716667,0.589066871986,0.12756385034
disagreement,2,4799,0.423626028036,0.788347405382,0.570440909056,0.13297651584
disagreement,3,4799,0.42631165458,0.781232062739,0.560441026591,0.133270742794
disagreement,4,4800,0.420505680737,0.793232254073,0.573222204035,0.131920420678
