candidate,fold,rows,positives,best_iteration,runtime_seconds,log_loss,roc_auc,pr_auc,brier
cat_behavior_d5,0,4801,1062,307,3.67311924999,0.427269791844,0.790578162988,0.552393096829,0.135051781496
cat_behavior_d5,1,4801,1062,264,3.26988204103,0.410901188541,0.806610627835,0.586730802889,0.127840417561
cat_behavior_d5,2,4799,1061,730,6.62429537496,0.425969752023,0.78510687546,0.564045463307,0.133632879759
cat_behavior_d5,3,4799,1062,413,4.31395800004,0.427555701946,0.779985053017,0.556728758209,0.133704883458
cat_behavior_d5,4,4800,1062,316,3.61640920909,0.421054521808,0.792849610908,0.57366033312,0.132014118134
rf_behavior_leaf30,0,4801,1062,400,29.580034458,0.428471794607,0.784924793833,0.550337871369,0.135224927076
rf_behavior_leaf30,1,4801,1062,400,29.4752820419,0.413532110173,0.80564395044,0.582474984821,0.128817591131
rf_behavior_leaf30,2,4799,1061,400,29.9980765829,0.425133149657,0.784915751769,0.563575818425,0.133331408754
rf_behavior_leaf30,3,4799,1062,400,31.408169042,0.429682529432,0.777253423922,0.558637721096,0.134271633212
rf_behavior_leaf30,4,4800,1062,400,31.492588833,0.42485030643,0.786760319778,0.563076531096,0.133104200769
bayes_laplace_curved,0,4801,1062,177,0.648355375044,0.433304100939,0.780478858512,0.539827126096,0.136932774285
bayes_laplace_curved,1,4801,1062,179,0.624764417065,0.414591520991,0.801310082708,0.581512622467,0.129175254082
bayes_laplace_curved,2,4799,1061,180,0.62516341696,0.428100279461,0.783404412184,0.550948390753,0.134565731585
bayes_laplace_curved,3,4799,1062,179,0.618409708026,0.429826019485,0.777354968662,0.550146475446,0.134446888284
bayes_laplace_curved,4,4800,1062,171,0.587030458031,0.425833234785,0.786539651304,0.555772471366,0.133749059296
archive_fixed_blend,0,4801,1062,,,0.426533502055,0.790493923418,0.553393398725,0.134799610955
archive_fixed_blend,1,4801,1062,,,0.410291470285,0.807853570725,0.589038835572,0.127671195799
archive_fixed_blend,2,4799,1061,,,0.423758480914,0.787976504393,0.570102475304,0.133004044117
archive_fixed_blend,3,4799,1062,,,0.426248706972,0.781072564425,0.560123807047,0.13328641955
archive_fixed_blend,4,4800,1062,,,0.420705707808,0.793071287001,0.573378008909,0.13195983223
oof_refit_blend_development_only,0,4801,1062,,,0.426547969865,0.790129011201,0.55293046933,0.134801734417
oof_refit_blend_development_only,1,4801,1062,,,0.410321138443,0.807981252226,0.589095922717,0.127690077082
oof_refit_blend_development_only,2,4799,1061,,,0.423491984887,0.788332529,0.570247288769,0.132931781659
oof_refit_blend_development_only,3,4799,1062,,,0.426115578277,0.781141352798,0.560566539004,0.133242910152
oof_refit_blend_development_only,4,4800,1062,,,0.420811307357,0.792882862322,0.572641437305,0.132012983685
