candidate,log_loss,roc_auc,pr_auc,brier,fold_log_loss_mean,fold_log_loss_std
cat_behavior_d5,0.422549551463,0.790303832836,0.565272774468,0.13244863085,0.422550191232,0.00701711219407
rf_behavior_leaf30,0.424333444236,0.787464545056,0.562672119347,0.132949803833,0.42433397806,0.00638972119165
bayes_laplace_curved,0.426330613187,0.785451696569,0.554418396407,0.133773820482,0.426331031132,0.00710691187034
archive_fixed_blend,0.421507024348,0.791486251322,0.56812637964,0.132144061378,0.421507573607,0.00669419241847
oof_refit_blend_development_only,0.421457064997,0.791507998663,0.568138233554,0.132135743946,0.421457595766,0.00663675031656
