candidate,log_loss,roc_auc,fold_log_loss_std,runtime_seconds
cat_behavior_status_categories,0.422339110878,0.790778490234,0.00718671360973,29.1183060418
cat_behavior_d6,0.422578506931,0.791083648368,0.00696323174654,22.9284577909
cat_behavior_d4,0.422615741867,0.790485918954,0.00699751496067,18.398110542
lgb_behavior_l15,0.422653749335,0.790219377972,0.00651504982625,7.69121079205
xgb_behavior_d3,0.42281213938,0.790221474101,0.00640657052049,7.93581633399
lgb_engineered_l15,0.423448708187,0.789112460452,0.00658060436809,6.38581983303
lgb_compact_l15,0.42346564526,0.789015297804,0.00628983508944,6.45198524907
xgb_engineered_d3,0.423954081028,0.788620474715,0.00624675636346,4.90910578996
cat_compact_ordered,0.423975282611,0.78856676644,0.00609006477455,22.5338522932
cat_compact_status_categories,0.424044588558,0.788373952776,0.00674776083422,23.8424316248
xgb_compact_d3,0.424053382511,0.788028963146,0.00580873650176,4.17868537607
