view,seed,iterations,runtime_seconds,model_sha256
numeric_status,2026,437,3.92133175,f8bb89ff32775cc456773f32b82f898bd5201173b0a8622e27f78ec21c0b6311
numeric_status,137,437,3.68565033399,d7f813048e9fed952e1c11b8abc7338d4b4533a4e6d1c442bdc6f75589f3d1be
numeric_status,4099,437,3.68681995803,7b89c6916d40d7461b16b59b4d372941403b78822a3192ae6a93fa1dd5507291
numeric_status,7919,437,3.71510445792,e51277334478c279c02f7735fc4a2c4c39cfc82433f47fd15adc9098b2d2e556
categorical_status,2026,437,5.27539741702,b1d3c69836f21aeb6e96ef12f2569a95bd190c19f2332d42fa27533bdd103373
categorical_status,137,437,5.34088133299,2a4c0913723bb8b8d8f53b73e03a1794fee37b536d6791ee7257d74c55c438e1
categorical_status,4099,437,6.11100379203,8ab7888b2d957b906a4d697656c8385254738c993356cff811371342d0f55b39
categorical_status,7919,437,8.96750883304,ec8b3b9ec039816a1ee9107b1b60b521f9ea424d56d14b8b2050fa65e0504588
