candidate,blocks,feature_count,cat_log_loss,cat_roc_auc,final_log_loss,final_roc_auc,gain_vs_current_final,runtime_seconds
all_no_interactions,"trajectory,coverage,trends,bands",262,0.422069577706,0.791274703501,0.421127142802,0.792090541217,0.000244126643515,41.057372792
trajectory,trajectory,228,0.422265559406,0.791157410957,0.421225480997,0.792008157289,0.000145788448523,21.598669917
trends,trends,227,0.422667951874,0.790404477276,0.421412958575,0.791683247167,-4.16891299047e-05,24.309261917
bands,bands,224,0.422584077558,0.790452199489,0.421436252668,0.791614820638,-6.49832227429e-05,31.703022583
interactions,interactions,220,0.422637751813,0.790435017275,0.42143647647,0.791604823714,-6.52070245478e-05,21.156698666
all_features,"trajectory,coverage,trends,bands,interactions",267,0.422652779437,0.790463148742,0.421447449265,0.791634985805,-7.61798191263e-05,34.435352125
coverage,coverage,228,0.422693130615,0.790336725942,0.421461044108,0.791545859999,-8.97746627916e-05,19.71996625
all_numeric,"trajectory,coverage,trends",253,0.422821784922,0.790450949874,0.421507702297,0.791622993527,-0.000136432851874,25.155145
